RFI No.,Date Of Submission To consultant,Date Of Reciving Reply from consultant,Var,Construction Phase,Civil Activity (Pre-MEP),MEP Activity (Intermediate Stage),Civil Activity (Post-MEP)
RFI 001,16-Feb-26,29-Mar-26,-41,Raft Foundation (Water Tank),Shuttering boundaries & installing 1st layer reinforcement.,Installing Sump Pit boxes & Earthing network.,Pouring R.C. Raft
RFI 002,17-Feb-26,18-Mar-26,-29,Slab,Slab shuttering & bottom layer reinforcement.,Fixing Crane Anchors & Maintenance Manholes.,Completing reinforcement & Casting
,,,,Columns,Column reinforcement before closing shuttering.,Installing Conduits & Electrical Boxes.,Closing Shuttering & Casting
,,,,Finishes,Internal waterproofing & hydro-testing.,"Installing Cat Ladders, Pumps, & Float Switches.",Painting & Tank Handover
RFI  003,10-Mar-26,07-Apr-26,-28,"Raft Foundation (B03, B04)",Shuttering boundaries & installing 1st layer reinforcement.,Installing Sump Pit boxes & Earthing network.,Casting R.C. Raft
RFI 005,10-Mar-26,05-Apr-26,-26,Walls,Shuttering one side (Side 1) & wall reinforcement.,Installing Puddle Flanges & Pipe Sleeves.,Closing Shuttering (Side 2) & Casting
,,,,External Site,External excavation & sand bedding.,Installing Infrastructure Pipes (Irrigation/Fire) & Tank connection.,Backfilling around Tank
