Fragnet ID,Delay Event ID,Fragnet Activity ID,Fragnet Activity Name,Fragnet Insert Before,Predecessor Activity ID,Predecessor Relationship Type,Predecessor Lag,Successor Activity ID,Successor Relationship Type,Successor Lag,Fragment Start,Fragment Finish,Fragment Duration,Logic Rationale,Record Reference,Evidence Reference,Claimed Delay Duration
FRAG-001,STEEL-STOCKOUT-05-Feb-2026-B01,FRAG-CON-B01-FOOT-1050,Client Steel Shortage - B01 - RFT - Before CON-B01-FOOT-1050,CON-B01-FOOT-1050,CON-B01-FOOT-1040,FS,0,CON-B01-FOOT-1090,FS,0,5-Feb-26,16-Feb-26,11,Insert before first affected activity CON-B01-FOOT-1050 due to steel shortage affecting B01.,CON-B01-FOOT-1050 - RFT for RC Raft & Footings (B01) (footing),Employer steel supply + master activity steel analysis,11
FRAG-002,STEEL-STOCKOUT-10-Mar-2026-B04,FRAG-CON-B04-FOOT-1050,Client Steel Shortage - B04 - RFT - Before CON-B04-FOOT-1050,CON-B04-FOOT-1050,CON-B04-FOOT-1040,FS,0,CON-B04-FOOT-1080,FS,0,10-Mar-26,21-Apr-26,42,Insert before first affected activity CON-B04-FOOT-1050 due to steel shortage affecting B04.,CON-B04-FOOT-1050 - RFT for RC Raft & Footings (B04) (footing),Employer steel supply + master activity steel analysis,42
FRAG-003,STEEL-STOCKOUT-10-Mar-2026-B04,FRAG-CON-B04-FOOT-1070,Client Steel Shortage - B04 - RFT - Before CON-B04-FOOT-1070,CON-B04-FOOT-1070,CON-B04-FOOT-1060,FS,0,CON-B04-FOOT-1090,FS,0,10-Mar-26,21-Apr-26,42,Insert before first affected activity CON-B04-FOOT-1070 due to steel shortage affecting B04.,CON-B04-FOOT-1070 - RFT for Columns & Walls Below SOG (B04) (footing),Employer steel supply + master activity steel analysis,42
FRAG-004,STEEL-STOCKOUT-21-Apr-2026-B02,FRAG-CON-B02-BAS02-1010,Client Steel Shortage - B02 - RFT - Before CON-B02-BAS02-1010,CON-B02-BAS02-1010,CON-B02-BAS02-1000,FS,0,CON-B02-BAS02-1020,FS,0,21-Apr-26,7-May-26,16,Insert before first affected activity CON-B02-BAS02-1010 due to steel shortage affecting B02.,"CON-B02-BAS02-1010 - RFT for Walls, Col. & Cores (B02) (Bas 02)",Employer steel supply + master activity steel analysis,16
FRAG-RFI-CLAIM6-001,RFI-CLAIM6-001,FRAG-RFI-CLAIM6-001,RFI response delay - RFI 001 / BD-CW-SAMCO-PCO-RFI-MECH-00001-R00,CON-B04-WT-1070,To be selected from P6 predecessor / last unaffected activity,FS,0,CON-B04-WT-1070,FS,0,26-Feb-2026,29-Mar-2026,31.0,"Insert RFI-response delay fragnet before affected activity CON-B04-WT-1070 - RFT for RC Raft (B04) (Water Tank) because reply was required before: Reply required before installing sump pit boxes, earthing network, and casting raft concrete",RFI 001 / BD-CW-SAMCO-PCO-RFI-MECH-00001-R00,RFI Delay.xlsx + RFI submission/reply records,31.0
FRAG-RFI-CLAIM6-002,RFI-CLAIM6-002,FRAG-RFI-CLAIM6-002,RFI response delay - RFI 002 / BD-CW-SAMCO-PCO-RFI-MECH-00002-R00,CON-B04-WT-1110,To be selected from P6 predecessor / last unaffected activity,FS,0,CON-B04-WT-1110,FS,0,27-Feb-2026,18-Mar-2026,19.0,"Insert RFI-response delay fragnet before affected activity CON-B04-WT-1110 - RFT for Walls (B04) (Water Tank) because reply was required before: Reply required before crane anchors, sleeves/openings coordination, reinforcement closure, and casting",RFI 002 / BD-CW-SAMCO-PCO-RFI-MECH-00002-R00,RFI Delay.xlsx + RFI submission/reply records,19.0
FRAG-RFI-CLAIM6-003,RFI-CLAIM6-003,FRAG-RFI-CLAIM6-003,RFI response delay - RFI 003,CON-B01-FOOT-1050,To be selected from P6 predecessor / last unaffected activity,FS,0,CON-B01-FOOT-1050,FS,0,20-Mar-2026,07-Apr-2026,18.0,Insert RFI-response delay fragnet before affected activity CON-B01-FOOT-1050 - RFT for RC Raft & Footings (B01) (footing) because reply was required before: Final sump pit and penetration details required before embedded MEP and raft casting,RFI 003,RFI Delay.xlsx + RFI submission/reply records,18.0
FRAG-RFI-CLAIM6-005,RFI-CLAIM6-005,FRAG-RFI-CLAIM6-005,RFI response delay - RFI 005,CON-B04-WT-1110,To be selected from P6 predecessor / last unaffected activity,FS,0,CON-B04-WT-1110,FS,0,20-Mar-2026,05-Apr-2026,16.0,"Insert RFI-response delay fragnet before affected activity CON-B04-WT-1110 - RFT for Walls (B04) (Water Tank) because reply was required before: Reply required before fixing wall penetrations, closing shuttering, casting wall side 2, and external pipe installation",RFI 005,RFI Delay.xlsx + RFI submission/reply records,16.0
