Activity ID,Activity Name,WBS,Original Duration,Calendar,Activity Type,Start,Finish,Predecessor Activity ID,Predecessor Relationship Type,Predecessor Lag,Successor Activity ID,Successor Relationship Type,Successor Lag,Delay Event ID,Claimed Delay Duration,Responsible Party,Notes
FRAG-CON-B01-FOOT-1050,Client Steel Shortage - B01 - RFT - Before CON-B01-FOOT-1050,The Big - P.01 - UP-24-MAY-26.CON.P02.B01.SUB.F,11,,Task Dependent,05-Feb-2026,16-Feb-2026,CON-B01-FOOT-1040,FS,0,CON-B01-FOOT-1090,FS,0,STEEL-STOCKOUT-05-Feb-2026-B01,11,Employer / Client,Insert before first affected activity CON-B01-FOOT-1050 due to steel shortage affecting B01.
FRAG-CON-B04-FOOT-1050,Client Steel Shortage - B04 - RFT - Before CON-B04-FOOT-1050,The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUB.1,42,,Task Dependent,10-Mar-2026,21-Apr-2026,CON-B04-FOOT-1040,FS,0,CON-B04-FOOT-1080,FS,0,STEEL-STOCKOUT-10-Mar-2026-B04,42,Employer / Client,Insert before first affected activity CON-B04-FOOT-1050 due to steel shortage affecting B04.
FRAG-CON-B04-FOOT-1070,Client Steel Shortage - B04 - RFT - Before CON-B04-FOOT-1070,The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUB.1,42,,Task Dependent,10-Mar-2026,21-Apr-2026,CON-B04-FOOT-1060,FS,0,CON-B04-FOOT-1090,FS,0,STEEL-STOCKOUT-10-Mar-2026-B04,42,Employer / Client,Insert before first affected activity CON-B04-FOOT-1070 due to steel shortage affecting B04.
FRAG-CON-B02-BAS02-1010,Client Steel Shortage - B02 - RFT - Before CON-B02-BAS02-1010,The Big - P.01 - UP-24-MAY-26.CON.P02.B02.SUB.2ndB,16,,Task Dependent,21-Apr-2026,07-May-2026,CON-B02-BAS02-1000,FS,0,CON-B02-BAS02-1020,FS,0,STEEL-STOCKOUT-21-Apr-2026-B02,16,Employer / Client,Insert before first affected activity CON-B02-BAS02-1010 due to steel shortage affecting B02.
FRAG-RFI-CLAIM6-001,RFI response delay - RFI 001 / BD-CW-SAMCO-PCO-RFI-MECH-00001-R00,Delay Fragnets / RFI Claim 6,31.0,Project calendar - verify,Task Dependent,26-Feb-2026,29-Mar-2026,To be selected from P6 predecessor / last unaffected activity,FS,0,CON-B04-WT-1070,FS,0,RFI-CLAIM6-001,31.0,Employer / Consultant / Designer,"Affected activity from RFI Delay.xlsx: CON-B04-WT-1070 - RFT for RC Raft (B04) (Water Tank); Reply required before installing sump pit boxes, earthing network, and casting raft concrete"
FRAG-RFI-CLAIM6-002,RFI response delay - RFI 002 / BD-CW-SAMCO-PCO-RFI-MECH-00002-R00,Delay Fragnets / RFI Claim 6,19.0,Project calendar - verify,Task Dependent,27-Feb-2026,18-Mar-2026,To be selected from P6 predecessor / last unaffected activity,FS,0,CON-B04-WT-1110,FS,0,RFI-CLAIM6-002,19.0,Employer / Consultant / Designer,"Affected activity from RFI Delay.xlsx: CON-B04-WT-1110 - RFT for Walls (B04) (Water Tank); Reply required before crane anchors, sleeves/openings coordination, reinforcement closure, and casting"
FRAG-RFI-CLAIM6-003,RFI response delay - RFI 003,Delay Fragnets / RFI Claim 6,18.0,Project calendar - verify,Task Dependent,20-Mar-2026,07-Apr-2026,To be selected from P6 predecessor / last unaffected activity,FS,0,CON-B01-FOOT-1050,FS,0,RFI-CLAIM6-003,18.0,Employer / Consultant / Designer,Affected activity from RFI Delay.xlsx: CON-B01-FOOT-1050 - RFT for RC Raft & Footings (B01) (footing); Final sump pit and penetration details required before embedded MEP and raft casting
FRAG-RFI-CLAIM6-005,RFI response delay - RFI 005,Delay Fragnets / RFI Claim 6,16.0,Project calendar - verify,Task Dependent,20-Mar-2026,05-Apr-2026,To be selected from P6 predecessor / last unaffected activity,FS,0,CON-B04-WT-1110,FS,0,RFI-CLAIM6-005,16.0,Employer / Consultant / Designer,"Affected activity from RFI Delay.xlsx: CON-B04-WT-1110 - RFT for Walls (B04) (Water Tank); Reply required before fixing wall penetrations, closing shuttering, casting wall side 2, and external pipe installation"
