project_id,project_name,sector_name,contract_documents,contract_clauses,evidence_documents,claim_drafts,source_file
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,1,26,0,0,projects\Bridges\LMD-Bridgs\05-contracts\contract_claims.db
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,1,66,0,0,projects\Buildings\The BIG - PH01\05-contracts\contract_claims.db
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,1,27,0,0,projects\Buildings\Sophia-Mall\05-contracts\contract_claims.db
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,1,26,0,0,projects\Tunnels\Suez-Tunnel\05-contracts\contract_claims.db
